ID HP MP STR INT CST
00379 85645 13030 69925 19959 04363
00380 84028 42926 74125 73422 44776
00381 55841 77886 17173 72654 62085
00382 49829 44989 46787 35092 95816
00383 52632 07225 89923 68768 45701
00384 78230 38096 56788 31122 89305
00385 80914 05726 10865 88484 58731
00386 01658 15116 75333 27674 88701
00387 48291 67419 70151 25597 82572
00388 70740 64318 08601 42814 90241
00389 46780 47232 75976 84269 63393
00390 57735 42930 18673 94397 16388
00391 61176 42090 04068 66339 88568
00392 41681 00387 23892 14483 17607
00393 01166 84503 88721 23643 67043
00394 31409 11557 33280 18297 79887
00395 36590 91665 96124 02021 77855
00396 88548 76176 16198 93707 94380
00397 05666 33648 84365 08914 48055
00398 71039 76521 46960 27662 58359
00399 90519 87042 30017 94655 36788
00400 56743 02859 74600 14378 54832
00401 37068 70119 00784 99404 93091
00402 89191 81649 32725 97740 30074
00403 87968 14848 82342 93202 30121
00404 28032 32746 03922 19687 52834
00405 05169 06974 19425 76146 73978
00406 11071 54641 86273 36909 15849
00407 73185 01118 39604 82533 51874
00408 84389 23177 29261 35430 24932
00409 56289 63713 61977 28545 66229
00410 24461 64449 72845 97867 71157
00411 41256 70307 87188 51093 36344
00412 48014 96752 40618 53656 95320
00413 74170 53348 67827 54827 81541
00414 55619 66911 05510 14727 99040
00415 38689 72204 65550 83317 07823
00416 94808 78599 05019 47563 10898
00417 41241 44672 82186 54599 71596
00418 63901 56419 41751 82093 59326
00419 16316 88838 01327 58752 60146
00420 05076 76098 39262 57264 11120
00421 13528 85913 17848 29947 56824
00422 72564 88553 33572 79772 20554
00423 35681 26302 53574 82165 85414
00424 00080 53148 20697 13726 21497
00425 55576 05189 04816 22376 79041
00426 49267 42600 07104 59226 95314
00427 83518 81374 63887 10427 35447
00428 67623 57793 39939 70632 39660
00429 49691 45303 27388 78745 57905
00430 93493 77723 20142 95480 33450
00431 00695 25698 09352 82887 78371
00432 06705 85567 74948 13738 58630
00433 38576 28230 40694 00566 53405
00434 84887 52700 53088 32459 18218
00435 34943 18049 83419 96399 81458
00436 77343 58631 15940 57044 36835
00437 15285 38360 94429 55964 36067
00438 60902 21741 89688 35481 31643
00439 99743 77641 58365 24223 46426
00440 19597 39045 54506 80695 23285
00441 07518 68719 44906 47677 91886
00442 72030 64186 30751 05351 21498
00443 51051 20731 38466 48717 54751
00444 83829 79990 18931 77515 50639
00445 98101 64664 14592 10240 68382
00446 94603 20853 55540 58147 15927
00447 32206 77567 66921 36640 81505
00448 90080 69525 40610 62853 64082
00449 93276 62193 19399 33861 62383
00450 60691 11767 78544 82361 29326
00451 85819 99652 39275 48842 74354
00452 14402 88453 64555 95124 73554
00453 61394 03154 95209 73970 51896
00454 24015 79768 32639 45063 32304
00455 52192 64504 96517 35466 77569
00456 92957 18989 69047 09027 30288
00457 54494 54166 99791 99294 80382
00458 54980 28594 60290 52763 14558
00459 03165 14066 22917 12234 29375
00460 80614 39934 84914 36210 79935
00461 76737 31794 89642 52488 81372
00462 04355 79287 51138 58569 73381
00463 97608 35244 23240 46677 80209
00464 48399 63994 66848 33774 70672
00465 54836 18848 27300 06483 19163
00466 82602 21105 55221 24673 33231
00467 84463 00550 44818 49916 99662
00468 20877 46140 21615 70210 29603
00469 31858 87273 33298 77935 25701
00470 82393 86124 40268 68339 55587
00471 06077 58169 95439 84695 68540
00472 67117 44449 32479 51957 21594
00473 19645 86373 61269 15526 45757
00474 47869 85964 24217 65928 96862
00475 38350 63704 33939 81167 13975
00476 44736 22862 55068 03682 66413
00477 55414 48048 99772 13731 74119
00478 19997 00172 93907 30335 08690
00479 20922 51912 44473 93278 37615
00480 63218 10842 89820 77069 74138
00481 70705 32661 17683 69864 77417
00482 87180 20272 94129 82310 88879
00483 68318 80854 36732 78068 79771
00484 65911 16542 24453 80662 58617
00485 11729 49803 82488 79986 50406
00486 15639 75629 93696 28093 58189
00487 76149 10171 45343 55665 95427
00488 57064 19440 88338 16841 11116
00489 62007 59787 24413 70823 33917
00490 88611 47082 28657 53107 85366
00491 74695 01846 21407 36493 91736
00492 62549 37783 01407 43026 68422
00493 15033 51177 36471 85387 23240
00494 40421 03790 77502 66020 11481
00495 49354 82228 91666 36407 82450
00496 16681 53412 13505 27857 85393
00497 32606 11024 98022 73093 63674
00498 02135 15386 43169 30152 67460
00499 53606 43517 32154 70109 14406
00500 50878 82363 67642 36831 18739
00501 09374 64232 60902 16463 65627
00502 55397 68340 19482 93279 57506
00503 24399 64527 25786 24400 37598
00504 34220 50808 93512 90231 22475
00505 97064 41056 78361 87087 71723
00506 33555 46548 25989 06861 20141
00507 01072 22465 90400 85537 98235
00508 25388 51716 23518 25651 84822
00509 03125 21495 07003 78300 41121
00510 62121 26052 72605 99443 20443
00511 05627 45229 16128 89176 68141
00512 60639 13123 59753 50390 32007
00513 75295 87392 41247 64518 50809
00514 16391 14592 96071 15634 42043
00515 47133 54472 09811 78461 45107
00516 78723 99140 60629 02282 76664
00517 30926 49005 92249 81029 10687
00518 59434 53385 83303 91178 74757
00519 59770 65953 57097 96400 12224
00520 09219 90311 58229 25966 79131
00521 53991 56143 80701 29260 78019
00522 70225 89662 92336 81543 12499
00523 41225 94600 23399 47222 81710
00524 56603 93187 72268 00493 83314
00525 89803 38548 90946 86851 30789
00526 29206 42428 19174 79586 61999
00527 44411 19620 87304 98064 38500
00528 68526 20258 43284 20855 82338
00529 56693 66498 49720 81704 61353
00530 76163 58401 53428 40674 11858
00531 75815 46514 59827 02286 76671
00532 85530 93119 23340 19128 61706
00533 13364 87318 31975 60812 56946
00534 00894 02953 09442 91195 90295
00535 96856 39230 37689 97632 74622
00536 83900 73545 71445 96414 10822
00537 92859 22239 33283 62101 92822
00538 93724 35902 83003 88444 57013
00539 83771 63205 65183 51970 10011
00540 57220 10956 99789 04849 64453
00541 43461 21292 24964 73235 61263
00542 21951 15570 15658 24427 66159
00543 93264 63155 80667 20531 27596
00544 94853 80573 64208 38491 88870
00545 95176 05228 78173 39462 74764
00546 46568 58900 93626 61233 11152
00547 91081 60415 24100 21419 59373
00548 49786 43166 15567 32702 79210
00549 95935 43055 57973 26605 54677
00550 96355 20053 78304 61954 06369
00551 71842 91616 85827 34122 21714
00552 58858 70814 27409 02481 85446
00553 42177 48769 25093 32878 56706
00554 74677 38122 67528 31653 55924
00555 52045 78070 54135 25769 03253
00556 52273 89638 47495 64625 59403
00557 78924 92500 76243 86893 77647
00558 53101 02323 74673 37714 74581
00559 62553 06980 32499 03367 64554
00560 30305 27456 15129 61214 58594
00561 44321 50749 05149 14539 50981
00562 00138 87379 26379 96487 37283
00563 96416 89755 51322 75962 01183
00564 82486 50746 98549 20380 97691
00565 93260 64376 08743 20938 56028
00566 15642 84975 65493 07909 73385
00567 41855 83515 78940 98140 07691
00568 89238 90630 90542 53488 38968
00569 31762 90412 02129 49167 19581
00570 19357 91203 16251 43440 96503
00571 13283 52167 28021 37241 59473
00572 44095 49831 61383 22505 48670
00573 81722 21475 13842 51667 90445
00574 41661 73032 00820 33090 28954
00575 88808 51679 72584 95813 40713
00576 21805 33988 82813 93460 49850
00577 53234 04725 95097 21433 14925
00578 86604 24851 14058 19579 71156
00579 41914 58842 83300 05256 84776
00580 87430 59163 90494 30687 13431
00581 18796 18963 74755 03362 82093
00582 99493 43690 32103 19768 98112
00583 05559 53694 65424 70417 33238
00584 95394 04603 53253 96758 35439
00585 53505 16720 26164 79613 47790
00586 91232 79952 64929 04515 11483
00587 07923 36938 21660 10702 87265
00588 19381 43844 84453 26395 17394
00589 11013 11525 02750 46574 93430
00590 63766 54186 61289 15264 44692
00591 62228 84366 29946 27324 67958
00592 73638 35019 37142 78647 13980
00593 54038 21551 34632 23702 07153
00594 31348 87083 17414 65914 92406
00595 35949 30209 21122 05261 03123
00596 90682 94134 56967 85958 51839
00597 34913 82340 88427 43124 19099
00598 15287 08043 32809 13299 30789
00599 36867 12741 39228 90033 06999
00600 58759 21815 29761 24824 09116
00601 95158 77899 64090 35257 73459
00602 38248 23205 30555 67238 09502
00603 22667 90439 61423 18529 91989
00604 18106 55544 12477 20450 85102
00605 10071 52235 23427 92531 26693
00606 01082 70633 94232 17625 70076
00607 32313 91593 49709 94693 32410
00608 13908 77916 16512 26804 41480
00609 97656 18979 73504 31513 96066
00610 91325 83790 33748 62083 66954
00611 75083 28031 87867 07751 17752
00612 56639 63479 25921 97335 77949
00613 55549 86552 14193 39817 02686
00614 39987 38834 70102 55262 05231
00615 23172 15254 06257 16367 71270
00616 01076 09122 81528 32650 89843
00617 59568 97596 10383 72157 72683
00618 11707 34552 25019 41217 01541
00619 31879 36518 18502 02087 73269
00620 06133 59218 20007 62327 26950
00621 32838 27391 24382 81981 70871
00622 16810 89511 87896 74670 70733
00623 77869 59256 55427 13340 05232
00624 67060 40004 34884 34329 02760
00625 36049 80278 62160 74946 96549
00626 89210 47444 39278 71934 53670
00627 17986 73920 80384 56337 23311
00628 98385 58626 38008 51634 55971
00629 94441 99434 46247 61123 84461
00630 76157 36242 01593 50785 20825
00631 60060 41015 56889 89950 17325
00632 54337 29807 35616 99861 10190
00633 84720 96600 70832 02805 69917
00634 04259 01038 76928 65833 65577
00635 28758 68425 04926 90370 93426
00636 20280 22399 86180 34002 11320
00637 74219 86429 17383 67917 62328
00638 26444 64575 63303 36556 77737
00639 48086 44109 96914 18277 74253
00640 41701 09884 35853 18933 91759
00641 34511 57402 38472 92909 01546
00642 85591 63792 69619 68410 00676
00643 59839 97449 72047 28788 18312
00644 00233 38329 80305 67865 48087
00645 14764 64512 82426 44782 16644
00646 26661 67320 96012 56479 45148
00647 27125 67132 66970 67367 14461
00648 77956 43752 39174 29285 03987
00649 02258 37340 69852 30919 04649
00650 67260 24341 12703 45611 11414
00651 98357 83901 79349 97137 90913
00652 69670 64976 37127 24846 66132
00653 79908 25430 54492 95528 59493
00654 27938 18341 60782 70913 26680
00655 86565 59211 02733 74670 01325
00656 83428 71524 08356 61522 16557
00657 49984 31236 27828 71066 49401
00658 56467 01419 43713 82386 34547
00659 29606 97869 33359 73109 53712
00660 64994 16282 65646 37084 90580
00661 15153 82053 38326 51128 95049
00662 38566 46875 29211 35932 22026
00663 56818 56418 26082 75387 90002
00664 40791 58926 46028 49089 49222
00665 99966 16743 77313 47776 13415
00666 09652 62448 33270 93438 98412
00667 05692 61451 08857 81224 91396
00668 16912 53420 29181 39898 68390
00669 13357 95857 62443 51940 08943
00670 95518 05547 46554 00005 17662
00671 40202 82594 48288 33811 88638
00672 17495 94284 89201 35200 90951
00673 00786 49418 68256 00927 39776
00674 67585 64259 83785 87497 77666
00675 95633 50170 74857 90272 48701
00676 37026 42032 83965 75634 80108
00677 18356 18237 21770 82236 42318
00678 65915 95883 66948 73224 11726
00679 50448 72683 92328 45301 09916
00680 77518 37683 15998 21263 23712
00681 38543 57312 68120 24451 75401
00682 85213 26637 40538 80290 12497
00683 28180 89502 15531 00673 59818
00684 44304 29105 28845 93230 64725
00685 59044 23559 60551 97883 93259
00686 30339 57293 46630 55160 43092
00687 37856 77229 29353 72084 16693
00688 13457 52840 11873 74685 46916
00689 20648 99116 47269 09428 98297
00690 10656 06801 80580 78436 00461
00691 86622 35628 74591 38518 59044
00692 16250 66322 22495 61448 72441
00693 38138 49763 79710 26760 20845
00694 53182 41119 63927 94106 96194
00695 65426 48000 67617 27618 11563
00696 00636 44321 11622 48373 79105
00697 62361 13588 36334 55010 22861
00698 70517 89044 05704 19577 85983
00699 33484 63317 92190 44946 52923
00700 02146 92597 56566 38996 58937
00701 47728 75139 33771 05569 80245
00702 57574 36190 50177 24662 14587
00703 59237 44186 57530 06499 80566
00704 88376 96422 98255 01195 06583
00705 78431 25232 13530 93712 35243
00706 96914 96623 10110 32824 35700
00707 65781 48767 72991 60941 15395
00708 40633 62752 42371 29355 49926
00709 71348 50315 78238 89956 75452
00710 87915 57842 04831 05749 33006
00711 01979 58207 73955 85228 07307
00712 04895 09362 35550 76983 78819
00713 26357 14177 93387 50216 34439
00714 10141 87576 71193 89144 16277
00715 10960 28594 15809 71991 34293
00716 13295 14592 43736 36456 47303
00717 50373 74538 50348 92861 13141
00718 63809 47523 01745 08878 48856
00719 45741 27500 33533 03416 13809
00720 65600 43105 86054 83557 73946
00721 62503 32300 34341 58781 46346
00722 02169 23507 92161 11013 14894
00723 82818 95391 02891 68163 28709
00724 30971 31841 39815 42767 88180
00725 67628 65097 80857 18262 11700
00726 31400 03377 30158 15363 34149
00727 09323 70347 03637 51335 45376
00728 34521 05037 09954 52942 05523
00729 20788 17449 37093 76770 56009
00730 30635 36455 10913 48162 73782
00731 04985 65705 56087 84211 96403
00732 99723 44556 45860 76895 15569
00733 68689 93848 96439 19522 52323
00734 09703 30103 72772 27710 87056
00735 49129 66121 06149 40727 82442
00736 03341 40574 41446 45996 82369
00737 66118 87841 16562 90355 11783
00738 99440 70961 77256 71649 19790
00739 16819 52345 23807 44629 98776
00740 64824 87375 33130 18142 76391
00741 05192 34685 08197 90017 96519
00742 90705 04908 65237 44284 16527
00743 76611 42535 15386 65162 78131
00744 60909 64802 80123 44933 72427
00745 86693 08948 27913 46544 39319
00746 65254 15482 94945 77875 75859
00747 94820 99181 82452 24493 12077
00748 76825 08307 68282 33500 15970
00749 40419 19956 05097 05364 69647
00750 31424 48453 82588 81126 02753
00751 90954 88526 39708 65233 90529
00752 41829 69180 23571 20545 32823
00753 18092 70356 49174 33719 32080
00754 62873 13035 89640 57087 37799
00755 67845 17474 05153 17401 38487
00756 80828 81006 04638 89367 11640
00757 47775 59854 81263 90750 47472
00758 95012 60941 99903 73721 24620
00759 16770 30517 79035 29527 93168
00760 76630 50998 37441 85980 34988
00761 21239 34091 98050 55103 82153
00762 98276 77291 37313 80067 15339
00763 24012 69545 86376 42206 50978
00764 10852 90763 90797 27841 30176
00765 45532 47527 07378 87640 69366
00766 42001 21947 45702 35829 54813
00767 65781 80986 79440 20220 28082
00768 26379 57006 75539 35758 08086
00769 31893 20758 64444 20664 46916
00770 49334 46769 81808 11716 56866
00771 52133 89686 17359 24509 20801
00772 46531 25297 77966 13719 86959
00773 16451 86943 23242 46404 40167
00774 23819 78020 72839 44182 64502
00775 18313 14833 66019 38489 19723
